PERIODO_OFICIALIZACION,SUBREGIMEN,PAIS_ORIGEN_DESC,PAIS_PROCEDENCIA_DESC,MEDIO_TRANSPORTE_DESC,ADUANA_DESC,REGION_DESC,UNIDAD_DESC,CAPITULO,CAPITULO_DESC,PARTIDA,PARTIDA_DESC,CANTIDAD_UNIDAD,KILOS_NETOS,MONTO_FOB_DOLAR,CANAL
201704,IC05,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8511,APARATOS_Y_DISPOSITIVOS_ELECTRICOS_DE_EN,81823,11522,190803,R
201701,IC05,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8414,BOMBAS_DE_AIRE_O_DE_VACIO__COMPRESORES_D,2040,22070,102786,V
201702,IC03,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8504,TRANSFORMADORES_ELECTRICOS__CONVERTIDORE,3,453973,6052632,R
201701,IG04,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8483,ARBOLES_DE_TRANSMISION__INCLUIDOS_LOS_DE,300,22576,110154,V
201706,IG05,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8511,APARATOS_Y_DISPOSITIVOS_ELECTRICOS_DE_EN,322,1662,74880,R
201705,IG05,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8421,CENTRIFUGADORAS__INCLUIDAS_LAS_SECADORAS,1119,3474,59575,N
201701,IG05,ITALIA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8512,APARATOS_ELECTRICOS_DE_ALUMBRADO_O_SEï¿½AL,3997,6816,46363,R
201703,IG05,BRASIL,BRASIL,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8483,ARBOLES_DE_TRANSMISION__INCLUIDOS_LOS_DE,1071,43744,226701,V
201706,IG05,ITALIA,ITALIA,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,84,REACTORES_NUCLEARES__CALDERAS__MAQUINAS_,8413,BOMBAS_PARA_LIQUIDOS__INCLUSO_CON_DISPOS,230,3502,68990,V
201701,IC04,BRASIL,BRASIL,CAMION,MENDOZA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8511,APARATOS_Y_DISPOSITIVOS_ELECTRICOS_DE_EN,79320,3990,95329,V
201705,IC04,INDIA,PAISES_BAJOS,CAMION,CORDOBA,DIR__REG__AD__CENTRAL,UNIDAD,85,MAQUINAS__APARATOS_Y_MATERIAL_ELECTRICO_,8517,TELEFONOS__INCLUIDOS_LOS_TELEFONOS_CELUL,18,398,58476,N
